file||src||doc_id||subdoc_id||texttype||balanced||src_file_or_url||words||chars||sentences
estonian_nc17.vert.01||NC||255||27981||periodicals||_||aja_EPL_2002_04_29.ma||216||1509||8
estonian_nc17.vert.01||NC||255||27982||periodicals||_||aja_EPL_2002_04_29.ma||177||1487||8
estonian_nc17.vert.01||NC||255||27983||periodicals||_||aja_EPL_2002_04_29.ma||165||1044||10
estonian_nc17.vert.01||NC||255||27984||periodicals||_||aja_EPL_2002_04_29.ma||227||1615||15
estonian_nc17.vert.01||NC||255||27985||periodicals||_||aja_EPL_2002_04_29.ma||112||855||8
estonian_nc17.vert.01||NC||255||27986||periodicals||_||aja_EPL_2002_04_29.ma||164||1188||13
estonian_nc17.vert.01||NC||255||27987||periodicals||_||aja_EPL_2002_04_29.ma||82||584||3
estonian_nc17.vert.01||NC||255||27988||periodicals||_||aja_EPL_2002_04_29.ma||159||1194||7
estonian_nc17.vert.01||NC||255||27989||periodicals||_||aja_EPL_2002_04_29.ma||71||461||5
estonian_nc17.vert.01||NC||255||27990||periodicals||_||aja_EPL_2002_04_29.ma||127||911||6
estonian_nc17.vert.01||NC||255||27991||periodicals||_||aja_EPL_2002_04_29.ma||93||659||8
estonian_nc17.vert.01||NC||255||27992||periodicals||_||aja_EPL_2002_04_29.ma||151||1113||7
estonian_nc17.vert.01||NC||255||27993||periodicals||_||aja_EPL_2002_04_29.ma||526||3146||29
estonian_nc17.vert.01||NC||255||27994||periodicals||_||aja_EPL_2002_04_29.ma||343||2324||17
estonian_nc17.vert.01||NC||255||27995||periodicals||_||aja_EPL_2002_04_29.ma||64||421||3
estonian_nc17.vert.01||NC||255||27996||periodicals||_||aja_EPL_2002_04_29.ma||700||4406||52
estonian_nc17.vert.01||NC||255||27997||periodicals||_||aja_EPL_2002_04_29.ma||277||1941||19
estonian_nc17.vert.01||NC||255||27998||periodicals||_||aja_EPL_2002_04_29.ma||104||813||6
estonian_nc17.vert.01||NC||255||27999||periodicals||_||aja_EPL_2002_04_29.ma||4||31||1
estonian_nc17.vert.01||NC||255||28000||periodicals||_||aja_EPL_2002_04_29.ma||15||98||1
estonian_nc17.vert.01||NC||255||28001||periodicals||_||aja_EPL_2002_04_29.ma||77||586||5
estonian_nc17.vert.01||NC||255||28002||periodicals||_||aja_EPL_2002_04_29.ma||115||833||8
estonian_nc17.vert.01||NC||255||28003||periodicals||_||aja_EPL_2002_04_29.ma||834||5215||84
estonian_nc17.vert.01||NC||255||28004||periodicals||_||aja_EPL_2002_04_29.ma||97||609||5
estonian_nc17.vert.01||NC||255||28005||periodicals||_||aja_EPL_2002_04_29.ma||110||792||9
estonian_nc17.vert.01||NC||255||28006||periodicals||_||aja_EPL_2002_04_29.ma||129||692||5
estonian_nc17.vert.01||NC||255||28007||periodicals||_||aja_EPL_2002_04_29.ma||836||4549||83
estonian_nc17.vert.01||NC||255||28008||periodicals||_||aja_EPL_2002_04_29.ma||363||2404||26
estonian_nc17.vert.01||NC||255||28009||periodicals||_||aja_EPL_2002_04_29.ma||423||2759||27
estonian_nc17.vert.01||NC||255||28010||periodicals||_||aja_EPL_2002_04_29.ma||306||2190||14
estonian_nc17.vert.01||NC||255||28011||periodicals||_||aja_EPL_2002_04_29.ma||171||1094||10
estonian_nc17.vert.01||NC||255||28012||periodicals||_||aja_EPL_2002_04_29.ma||12||72||1
estonian_nc17.vert.01||NC||255||28013||periodicals||_||aja_EPL_2002_04_29.ma||102||526||6
estonian_nc17.vert.01||NC||255||28014||periodicals||_||aja_EPL_2002_04_29.ma||161||857||9
estonian_nc17.vert.01||NC||255||28015||periodicals||_||aja_EPL_2002_04_29.ma||74||513||6
estonian_nc17.vert.01||NC||255||28016||periodicals||_||aja_EPL_2002_04_29.ma||78||641||7
estonian_nc17.vert.01||NC||255||28017||periodicals||_||aja_EPL_2002_04_29.ma||163||801||10
estonian_nc17.vert.01||NC||255||28018||periodicals||_||aja_EPL_2002_04_29.ma||147||957||8
estonian_nc17.vert.01||NC||255||28019||periodicals||_||aja_EPL_2002_04_29.ma||314||1879||25
estonian_nc17.vert.01||NC||255||28020||periodicals||_||aja_EPL_2002_04_29.ma||428||2602||42
estonian_nc17.vert.01||NC||255||28021||periodicals||_||aja_EPL_2002_04_29.ma||142||1169||9
estonian_nc17.vert.01||NC||255||28022||periodicals||_||aja_EPL_2002_04_29.ma||91||680||4
estonian_nc17.vert.01||NC||255||28023||periodicals||_||aja_EPL_2002_04_29.ma||99||728||5
estonian_nc17.vert.01||NC||255||28024||periodicals||_||aja_EPL_2002_04_29.ma||141||1073||5
estonian_nc17.vert.01||NC||255||28025||periodicals||_||aja_EPL_2002_04_29.ma||467||3534||27
estonian_nc17.vert.01||NC||255||28026||periodicals||_||aja_EPL_2002_04_29.ma||505||3719||19
estonian_nc17.vert.01||NC||255||28027||periodicals||_||aja_EPL_2002_04_29.ma||282||1868||14
estonian_nc17.vert.01||NC||255||28028||periodicals||_||aja_EPL_2002_04_29.ma||478||3315||28
estonian_nc17.vert.01||NC||255||28029||periodicals||_||aja_EPL_2002_04_29.ma||224||1789||11
estonian_nc17.vert.01||NC||255||28030||periodicals||_||aja_EPL_2002_04_29.ma||65||474||3
estonian_nc17.vert.01||NC||255||28031||periodicals||_||aja_EPL_2002_04_29.ma||240||1977||10
estonian_nc17.vert.01||NC||255||28032||periodicals||_||aja_EPL_2002_04_29.ma||240||1655||13
estonian_nc17.vert.01||NC||255||28033||periodicals||_||aja_EPL_2002_04_29.ma||174||1353||7
estonian_nc17.vert.01||NC||255||28034||periodicals||_||aja_EPL_2002_04_29.ma||42||323||4
estonian_nc17.vert.01||NC||255||28035||periodicals||_||aja_EPL_2002_04_29.ma||222||1590||12
estonian_nc17.vert.01||NC||255||28036||periodicals||_||aja_EPL_2002_04_29.ma||134||938||6
estonian_nc17.vert.01||NC||255||28037||periodicals||_||aja_EPL_2002_04_29.ma||191||987||18
estonian_nc17.vert.01||NC||255||28038||periodicals||_||aja_EPL_2002_04_29.ma||280||1917||15
estonian_nc17.vert.01||NC||255||28039||periodicals||_||aja_EPL_2002_04_29.ma||63||453||3
estonian_nc17.vert.01||NC||255||28040||periodicals||_||aja_EPL_2002_04_29.ma||2194||13954||160
estonian_nc17.vert.01||NC||255||28041||periodicals||_||aja_EPL_2002_04_29.ma||135||900||7
estonian_nc17.vert.01||NC||255||28042||periodicals||_||aja_EPL_2002_04_29.ma||108||689||6
estonian_nc17.vert.01||NC||255||28043||periodicals||_||aja_EPL_2002_04_29.ma||206||1637||9
estonian_nc17.vert.01||NC||255||28044||periodicals||_||aja_EPL_2002_04_29.ma||142||1053||8
estonian_nc17.vert.01||NC||255||28045||periodicals||_||aja_EPL_2002_04_29.ma||191||1268||11
estonian_nc17.vert.01||NC||255||28046||periodicals||_||aja_EPL_2002_04_29.ma||94||601||7
estonian_nc17.vert.01||NC||255||28047||periodicals||_||aja_EPL_2002_04_29.ma||18||79||1
estonian_nc17.vert.01||NC||255||28048||periodicals||_||aja_EPL_2002_04_29.ma||363||2483||22
estonian_nc17.vert.01||NC||255||28049||periodicals||_||aja_EPL_2002_04_29.ma||404||2719||24
estonian_nc17.vert.01||NC||255||28050||periodicals||_||aja_EPL_2002_04_29.ma||229||1650||11
estonian_nc17.vert.01||NC||255||28051||periodicals||_||aja_EPL_2002_04_29.ma||507||3046||32
estonian_nc17.vert.01||NC||255||28052||periodicals||_||aja_EPL_2002_04_29.ma||258||1694||15
estonian_nc17.vert.01||NC||255||28053||periodicals||_||aja_EPL_2002_04_29.ma||480||3077||32
estonian_nc17.vert.01||NC||255||28054||periodicals||_||aja_EPL_2002_04_29.ma||51||372||3
estonian_nc17.vert.01||NC||255||28055||periodicals||_||aja_EPL_2002_04_29.ma||4||29||1
estonian_nc17.vert.01||NC||255||28056||periodicals||_||aja_EPL_2002_04_29.ma||161||989||12
estonian_nc17.vert.01||NC||255||28057||periodicals||_||aja_EPL_2002_04_29.ma||11||68||1
